id,Title,_school_details_address,_school_sports,Sports
34440,"Notre Dame, University Of",,,"Men>Men's Baseball|Men>Men's Basketball|Men>Men's Cross Country|Men>Men's Fencing|Men>Men's Football|Men>Men's Golf|Men>Men's Ice Hockey|Men>Men's Lacrosse|Men>Men's Soccer|Men>Men's Swimming &amp; Diving|Men>Men's Tennis|Men>Men's Track &amp; Field|Women>Women's Basketball|Women>Women's Cheerleading|Women>Women's Crew/Rowing|Women>Women's Cross Country|Women>Women's Fencing|Women>Women's Golf|Women>Women's Lacrosse|Women>Women's Soccer|Women>Women's Softball|Women>Women's Swimming &amp; Diving|Women>Women's Tennis|Women>Women's Track &amp; Field|Women>Women's Volleyball"
34442,"Pittsburgh, University Of",,,"Men>Men's Baseball|Men>Men's Basketball|Men>Men's Cross Country|Men>Men's Football|Men>Men's Soccer|Men>Men's Swimming &amp; Diving|Men>Men's Track &amp; Field|Men>Men's Wrestling|Women>Women's Basketball|Women>Women's Cheerleading|Women>Women's Cross Country|Women>Women's Gymnastics|Women>Women's Soccer|Women>Women's Softball|Women>Women's Swimming &amp; Diving|Women>Women's Tennis|Women>Women's Track &amp; Field|Women>Women's Volleyball"
34444,"Virginia Polytech. Inst. & State U. (virginia Tech)",,,"Men>Men's Baseball|Men>Men's Basketball|Men>Men's Cross Country|Men>Men's Football|Men>Men's Golf|Men>Men's Soccer|Men>Men's Swimming &amp; Diving|Men>Men's Tennis|Men>Men's Track &amp; Field|Men>Men's Wrestling|Women>Women's Basketball|Women>Women's Cheerleading|Women>Women's Cross Country|Women>Women's Golf|Women>Women's Lacrosse|Women>Women's Soccer|Women>Women's Softball|Women>Women's Swimming &amp; Diving|Women>Women's Tennis|Women>Women's Track &amp; Field|Women>Women's Volleyball"
34446,"Virginia, University Of",,,"Men>Men's Baseball|Men>Men's Basketball|Men>Men's Cross Country|Men>Men's Football|Men>Men's Golf|Men>Men's Lacrosse|Men>Men's Soccer|Men>Men's Squash|Men>Men's Swimming &amp; Diving|Men>Men's Tennis|Men>Men's Track &amp; Field|Men>Men's Wrestling|Women>Women's Basketball|Women>Women's Cheerleading|Women>Women's Crew/Rowing|Women>Women's Cross Country|Women>Women's Field Hockey|Women>Women's Golf|Women>Women's Lacrosse|Women>Women's Soccer|Women>Women's Softball|Women>Women's Sqaush|Women>Women's Swimming &amp; Diving|Women>Women's Tennis|Women>Women's Track &amp; Field|Women>Women's Volleyball"
34448,"Wake Forest University",,,"Men>Men's Baseball|Men>Men's Basketball|Men>Men's Football|Men>Men's Golf|Men>Men's Soccer|Men>Men's Tennis|Women>Women's Basketball|Women>Women's Cheerleading|Women>Women's Cross Country|Women>Women's Field Hockey|Women>Women's Golf|Women>Women's Soccer|Women>Women's Tennis|Women>Women's Volleyball"
34450,"Bevill State Community College",,,"Men>Men's Baseball|Men>Men's Basketball|Women>Women's Softball|Women>Women's Volleyball"
34452,"Bishop State Comm. College",,,"Men>Men's Baseball|Men>Men's Basketball|Women>Women's Softball"
34454,"Calhoun Community College",,,"Men>Men's Baseball|Men>Men's Golf|Women>Women's Golf"
34456,"Central Alabama Community College",,,"Men>Men's Baseball|Men>Men's Golf|Women>Women's Softball|Women>Women's Tennis"
34458,"Coastal Alabama Cc-bay Minette",,,"Men>Men's Baseball|Men>Men's Golf|Men>Men's Tennis|Women>Women's Basketball|Women>Women's Softball|Women>Women's Tennis|Women>Women's Volleyball"
34460,"Coastal Alabama Cc-brewton",,,"Men>Men's Baseball|Men>Men's Basketball|Women>Women's Softball|Women>Women's Volleyball"
34462,"Enterprise State Community College",,,"Men>Men's Baseball|Men>Men's Basketball|Women>Women's Basketball|Women>Women's Softball"
34464,"Lawson State Community College",,,"Men>Men's Baseball|Men>Men's Basketball|Women>Women's Basketball|Women>Women's Volleyball"
34466,"Marion Military Institute",,,"Men>Men's Baseball|Men>Men's Basketball|Men>Men's Cross Country|Men>Men's Golf|Men>Men's Tennis|Women>Women's Cross Country|Women>Women's Golf|Women>Women's Softball|Women>Women's Tennis"
34468,"Shelton State Community College",,,"Men>Men's Baseball|Men>Men's Basketball|Women>Women's Basketball|Women>Women's Cheerleading|Women>Women's Softball"
34470,"Snead State Community College",,,"Men>Men's Baseball|Men>Men's Basketball|Women>Women's Basketball|Women>Women's Softball|Women>Women's Tennis|Women>Women's Volleyball"
34472,"Southern Union State Community College",,,"Men>Men's Baseball|Women>Women's Basketball|Women>Women's Cheerleading|Women>Women's Softball|Women>Women's Volleyball"
34474,"Wallace Community College-selma",,,"Men>Men's Baseball|Men>Men's Basketball|Women>Women's Basketball|Women>Women's Volleyball"
34476,"Wallace State Community College-hanceville",,,"Men>Men's Baseball|Men>Men's Basketball|Men>Men's Cross Country|Men>Men's Golf|Men>Men's Tennis|Women>Women's Basketball|Women>Women's Cheerleading|Women>Women's Cross Country|Women>Women's Golf|Women>Women's Softball|Women>Women's Tennis|Women>Women's Volleyball"
34478,"D'youville College",,,"Men>Men's Baseball|Men>Men's Basketball|Men>Men's Cross Country|Men>Men's Golf|Men>Men's Soccer|Men>Men's Volleyball|Women>Women's Basketball|Women>Women's Crew/Rowing|Women>Women's Cross Country|Women>Women's Lacrosse|Women>Women's Soccer|Women>Women's Tennis|Women>Women's Volleyball"
34480,"Hilbert College",,,"Men>Men's Baseball|Men>Men's Cross Country|Men>Men's Lacrosse|Men>Men's Soccer|Men>Men's Track &amp; Field|Men>Men's Volleyball|Women>Women's Basketball|Women>Women's Bowling|Women>Women's Cross Country|Women>Women's Lacrosse|Women>Women's Soccer|Women>Women's Softball|Women>Women's Track &amp; Field|Women>Women's Volleyball"
34482,"La Roche College",,,"Men>Men's Baseball|Men>Men's Basketball|Men>Men's Cross Country|Men>Men's Lacrosse|Men>Men's Soccer|Women>Women's Basketball|Women>Women's Cheerleading|Women>Women's Cross Country|Women>Women's Lacrosse|Women>Women's Soccer|Women>Women's Softball|Women>Women's Tennis|Women>Women's Volleyball"
34484,"Mount Aloysius College",,,"Men>Men's Baseball|Men>Men's Basketball|Men>Men's Cross Country|Men>Men's Golf|Men>Men's Tennis|Women>Women's Basketball|Women>Women's Bowling|Women>Women's Cross Country|Women>Women's Softball|Women>Women's Tennis|Women>Women's Volleyball"
34486,"Penn State Altoona",,,"Men>Men's Baseball|Men>Men's Basketball|Men>Men's Golf|Men>Men's Soccer|Men>Men's Swimming &amp; Diving|Men>Men's Tennis|Men>Men's Volleyball|Women>Women's Basketball|Women>Women's Bowling|Women>Women's Golf|Women>Women's Soccer|Women>Women's Softball|Women>Women's Swimming &amp; Diving|Women>Women's Tennis|Women>Women's Volleyball"
