id,Title,Content
35296,"Drury University",
35298,"Illinois, U. Of, Springfield",
35300,"Indianapolis, Univ. Of",
35302,"Lewis University",
35304,"Maryville U.-st. Louis",
35306,"Mckendree University",
35308,"Missouri U. Of Science And Technology",
35310,"Missouri, University Of (st. Louis)",
35312,"Quincy University",
35314,"Southern Indiana, University Of",
35316,"Truman State University",
35318,"William Jewell College",
35320,"Wisconsin, U. Of (parkside)",
35322,"Alderson-broaddus University",
35324,"Cedarville University",
35326,"Davis & Elkins College",
35328,"Findlay, University Of",
35330,"Hillsdale College",
35332,"Kentucky Wesleyan College",
35334,"Lake Erie College",
35336,"Malone University",
35338,"Ohio Dominican University",
35340,"Trevecca Nazarene University",
35342,"Walsh University",
35344,"Albertus Magnus College",
35346,"Anna Maria College",
35348,"Johnson & Wales U. (ri)",
35350,"Lasell College",
35352,"Norwich University",
35354,"Rivier University",
35356,"Suffolk University",
35358,"Central Washington University",
35360,"Concordia University (or)",
35362,"Montana State University Billings",
35364,"Northwest Nazarene Univ.",
35366,"Saint Martin's University",
35368,"Western Oregon University",
35370,"Briar Cliff University",
35372,"Concordia University (ne)",
35374,"Dakota Wesleyan University",
35376,"Doane University",
35378,"Dordt College",
35380,"Hastings College",
35382,"Midland University",
35384,"Morningside College",
35386,"Northwestern College",
35388,"John A. Logan College",
35390,"Kaskaskia College",
35392,"Rend Lake College",
35394,"Shawnee College",
35396,"Wabash Valley College",
35398,"Edward Waters College",
35400,"Talladega College",
35402,"Tougaloo College",
35404,"Alabama, U. Of In Huntsville",
35406,"Auburn U. At Montgomery",
35408,"Christian Brothers Univ.",
35410,"Delta State University",
35412,"Lee University",
35414,"Mississippi College",
35416,"Montevallo, University Of",
35418,"North Alabama, Univ. Of",
35420,"Shorter University",
35422,"Union University",
35424,"Valdosta State University",
35426,"West Alabama, Univ. Of",
35428,"West Florida, Univ. Of",
35430,"West Georgia, University Of",
35432,"Avila University",
35434,"Baker University",
35436,"Benedictine College",
35438,"Central Methodist University",
35440,"Clarke University",
35442,"Culver-stockton College",
35444,"Evangel University",
35446,"Grand View University",
35448,"Midamerica Nazarene University",
35450,"Missouri Valley College",
35452,"Mount Mercy University",
35454,"Peru State College",
35456,"William Penn University",
35458,"Anderson University (in)",
35460,"Bluffton University",
35462,"Defiance College",
35464,"Earlham College",
35466,"Hanover College",
35467,"Mount St. Joseph University",
35469,"Transylvania University",
35471,"Arkansas, U. Of (fort Smith)",
35473,"Lubbock Christian Univ.",
35475,"Newman University",
35477,"Oklahoma Christian Univ.",
35479,"Rogers State University",
35481,"Saint Mary's University (tx)",
35483,"St. Edwards University",
35485,"Texas A&m International University",
35487,"Illinois At Chicago, University Of",
35489,"Northern Kentucky University",
35491,"Oakland University",
35494,"Wisconsin, U. Of (milwaukee)",
35496,"Wright State University",
35498,"Youngstown State University",
35500,"Vaughn College Of Aeronautics And Technology",
35502,"Elgin Community College",
35504,"Lake County, College Of",
35506,"Mchenry County College",
35508,"Moraine Valley Community College",
35510,"Morton College",
35512,"Oakton Community College",
35514,"Prairie State College",
35516,"Waubonsee Community College",
35518,"Bluefield State College",
35520,"Chicago, University Of",
35522,"Crowder College",
35524,"Crowley's Ridge College",
35526,"Finlandia University",
35528,"Grayson College",
35530,"Harry S. Truman College",
35532,"Hesston College",
35534,"Illinois Institute Of Technology",
35536,"Lakewood College",
35538,"Laredo Community College",
35540,"Metropolitan Cc-maple Woods",
35542,"Navarro College",
35544,"New York Institute Of Technology",
35546,"North Central Missouri College",
35548,"Northeast Texas Community College",
35550,"Oakland City University",
35552,"Ohio City College",
35554,"Olive-harvey College",
35556,"Otero Junior College",
35558,"Pine Manor College",
35560,"Pitt Community College",
35562,"Rhode Island, Community College Of",
35564,"Rockingham Community College",
35566,"Salem International University",
35568,"Vincennes University",
35570,"Western Nebraska Community College",
35572,"Des Moines Area Community College",
35574,"Ellsworth Community College",
35576,"Indian Hills Community College",
35578,"Iowa Central Community College",
35580,"Iowa Lakes Community College",
35582,"Iowa Western Community College",
35584,"Kirkwood Community College",
35586,"Marshalltown Community College",
35588,"North Iowa Area Community College",
35590,"Northeast Community College",
35592,"Southeastern Community College (ia)",
35594,"Southwestern Community College",
35596,"Buena Vista University",
35598,"Central College",
35600,"Dubuque, University Of",
35602,"Loras College",
35604,"Luther College",
35606,"Nebraska Wesleyan University",
35608,"Simpson College",
35610,"Wartburg College",
35612,"Brown University",
35614,"Columbia University",
35616,"Cornell University",
35618,"Dartmouth College",
35620,"Harvard University",
35622,"Pennsylvania, University Of",
35624,"Princeton University",
35626,"Yale University",
35628,"Bethany College",
35630,"Friends University",
35632,"Kansas Wesleyan University",
35634,"Mcpherson College",
35636,"Ottawa University",
35638,"Southwestern College (ks)",
35640,"Sterling College",
35642,"Tabor College",
35645,"Allen Community College",
35647,"Barton Community College",
35649,"Butler Community College",
35651,"Cloud County Community College",
35653,"Coffeyville Community College",
35655,"Colby Community College",
35657,"Cowley College",
35659,"Dodge City Community College",
35661,"Fort Scott Community College",
35663,"Garden City Community College",
35666,"Hutchinson Community College",
35668,"Independence Community College",
35670,"Johnson County Community College",
35672,"Kansas City Kansas Cc",
35674,"Neosho County Community College",
35676,"Pratt Community College",
35678,"Seward County Cc/area Tech. School",
35680,"Catholic U. Of America",
35682,"Drew University",
35684,"Elizabethtown College",
35686,"Moravian College",
35688,"Scranton, University Of",
35690,"Susquehanna University",
35692,"Bard College",
35694,"Clarkson University",
35696,"Ithaca College",
35698,"Rensselaer Polytechnic Institute",
35700,"Rochester Inst. Of Technology",
35702,"Rochester, University Of",
35704,"Skidmore College",
35706,"St. Lawrence University",
35708,"Union College (ny)",
35710,"Vassar College",
35712,"Eastern Connecticut State U.",
35714,"Keene State College",
35716,"Massachusetts, U. Of (north Dartmouth)",
35718,"Massachusetts, University Of (boston)",
35720,"Plymouth State University",
35722,"Rhode Island College",
35724,"Southern Maine, Univ. Of",
35726,"Western Connecticut State University",
35728,"Angelo State University",
35730,"Cameron University",
35732,"Eastern New Mexico University",
35734,"Tarleton State University",
35736,"Texas A&m University-kingsville",
35738,"Texas Of The Permian Basin, U. Of",
35740,"West Texas A&m University",
35742,"Albright College",
35744,"Alvernia University",
35746,"Arcadia University",
35748,"Hood College",
35749,"Lebanon Valley College",
35751,"Messiah College",
35753,"Stevenson University",
35755,"Widener University",
35757,"Delaware Valley University",
35759,"Desales University",
35761,"Eastern University",
35763,"Fairleigh Dickinson University-florham",
35765,"King's College",
35767,"Manhattanville College",
35769,"Misericordia University",
35771,"Wilkes University",
35773,"Coahoma Community College",
35775,"Copiah-lincoln Community College",
35777,"East Central Community College",
35779,"East Mississippi Community College",
35781,"Hinds Community College",
35783,"Holmes Community College",
35785,"Itawamba Community College",
35787,"Jones County Junior College",
35789,"Meridian Community College",
35791,"Mississippi Delta Community College",
35793,"Mississippi Gulf Coast Cc",
35795,"Northeast Mississippi Community College",
35797,"Northwest Mississippi Cc",
35799,"Pearl River Community College",
35801,"Southwest Mississippi Community College",
35803,"Anne Arundel Community College",
35805,"Ccbc Catonsville",
35807,"Ccbc Dundalk",
35809,"Ccbc Essex Campus",
35811,"Cecil College",
35813,"Frederick Community College",
35815,"Hagerstown Community College",
35817,"Montgomery College",
35819,"Prince George's Community College",
35821,"Southern Maryland, College Of",
35823,"Bridgewater State University",
35825,"Fitchburg State University",
35827,"Framingham State University",
35828,"Massachusetts College Of Liberal Arts",
35830,"Massachusetts Maritime Academy",
