ID,Title,address
36961,"Pomona-pitzer Colleges","220 E 6th St."
36963,"Redlands, University Of","1200 E Colton Ave"
36965,"Whittier College","13847 Earlham Drive"
36967,"Alabama, University Of","Box 870323"
36969,"Arkansas, U. Of (fayetteville)","350 N. Razorback Rd."
36971,"Auburn University","392 S. Donahue Dr."
36973,"Florida, University Of","PO Box 14485"
36975,"Georgia, University Of","PO Box 1472"
36977,"Kentucky, University Of","Joe Craft Center"
36979,"Louisiana State University","Moran Family Athletic Center"
36981,"Mississippi State University","PO Box 5327"
36983,"Mississippi, University Of","908 All-American Drive"
36985,"Missouri, University Of","#1 Champions Drive"
36987,"South Carolina, U. Of","1304 Heyward St."
36989,"Tennessee, University Of (knoxville)","1551 Lake Loudoun Blvd."
36991,"Texas A&m University","756 Houston St."
36993,"Vanderbilt University","2601 Jess Neely Drive"
36995,"Albany State University","504 College Drive"
36997,"Benedict College","1600 Harden St"
36999,"Claflin University","400 Magnolia St."
37001,"Clark Atlanta University","223 James P. Brawley Dr., SW"
37003,"Kentucky State University","400 E Main St"
37005,"Lane College","545 Lane Ave"
37007,"Le Moyne-owen College","807 Walker Ave"
37009,"Miles College","5500 Myron Massey Blvd"
37011,"Morehouse College","Frank Forbes Arena"
37013,"Paine College","1235 15th St"
37015,"Spring Hill College","4000 Dauphin St."
37017,"Tuskegee University","1200 W. Montgomery Rd."
37019,"Farmingdale State College","2350 Broadhollow Rd."
37021,"Mount Saint Mary College","330 Powell Avenue"
37023,"Mount Saint Vincent, Coll. Of","6301 Riverdale Ave"
37025,"Purchase College, State University Of New York","735 Andersen Hill Rd."
37027,"Saint Joseph's College-long Island","155 West Roe Blvd."
37029,"St. Joseph's College (brooklyn, Ny)","212 Vanderbilt Ave."
37031,"Suny College At Old Westbury","Clark Athletic Center"
37033,"Suny Maritime College","6 Pennyfield Ave."
37035,"United States Merchant Marine Acad.","300 Steamboat Road, O'Hara Hall"
37037,"Yeshiva University","500 W 185th St."
37039,"Eureka College","300 E College Ave."
37041,"Fontbonne University","6800 Wydown Blvd"
37043,"Greenville University","315 E College Ave"
37045,"Iowa Wesleyan University","601 N Main St."
37047,"Principia College","1 Maybeck Place"
37049,"Spalding University","824 S. 4th Street"
37050,"Webster University","470 E Lockwood Ave"
37052,"Westminster College (mo)","501 Westminster Ave."
37054,"Bacone College","2299 Old Bacone Rd."
37056,"Central Christian Coll. (ks)","PO Box 1403"
37058,"Mid-america Christian University","3500 SW 119th St"
37060,"Oklahoma City University","2501 North Blackwelder Ave"
37062,"Oklahoma Panhandle State Univ.","323 W. Eagle Blvd."
37064,"Oklahoma, U. Of Science & Arts Of","1727 W. Alabama"
37066,"Southwestern Assemblies Of God University","1200 Sycamore St"
37068,"Texas Wesleyan University","1201 Wesleyan St"
37070,"Wayland Baptist University","1900 W 7th St."
37072,"Anderson University (sc)","316 Boulevard St"
37074,"Carson-newman University","2130 South Branner Ave"
37076,"Catawba College","2300 West Innes Street"
37078,"Coker College","300 College Ave"
37080,"Lenoir-rhyne University","Shuford Memorial Gymnasium"
37082,"Lincoln Memorial University","6965 Cumberland Gap Parkway"
37084,"Mars Hill University","100 Athletic St."
37086,"Newberry College","2100 College St."
37088,"Queens University Of Charlotte","1900 Selwyn Ave."
37090,"Wingate University","230 North Camden Road"
37092,"Cerritos College","11110 Alondra Blvd"
37094,"Chaffey College","5885 Haven Avenue"
37096,"Compton College","1111 E Artesia Blvd"
37098,"East Los Angeles College","1301 Avenida Cesar Chavez"
37100,"El Camino College","16007 Crenshaw Blvd."
37102,"Long Beach City College","4901 E Carson St"
37104,"Los Angeles Harbor College","1111 Figueroa Pl"
37106,"Mt. San Antonio College","1100 North Grand Avenue"
37108,"Pasadena City College","1570 E Colorado Blvd"
37110,"Rio Hondo College","3600 Workman Mill Rd."
37112,"Citadel, The","McAlister Field House"
37114,"East Tennessee State U.","PO Box 70707"
37116,"Furman University","3300 Poinsett Hwy"
37118,"Mercer University","1501 Mercer University Drive"
37120,"North Carolina, U. Of (greensboro)","1408 Walker Ave."
37122,"Samford University","800 Lakeshore Dr"
37124,"Virginia Military Institute","401 North Main Street"
37126,"Western Carolina University","Ramsey Center- Athletics"
37128,"Wofford College","429 N. Church St."
37130,"Berry College","2277 Martha Berry Blvd"
37132,"Birmingham-southern College","900 Arkadelphia Rd."
37134,"Centre College","600 W Walnut St."
37136,"Hendrix College","1600 Washington Ave"
37138,"Millsaps College","1701 North State St"
37140,"Oglethorpe University","4484 Peachtree Rd NE"
37142,"Sewanee: The University Of The South","735 University Ave."
37144,"Austin College","900 N. Grand Ave"
37146,"Centenary College Of Louisiana","2911 Centenary Blvd."
37148,"Dallas, University Of","1845 E Northgate Dr."
37150,"Schreiner University","2100 Memorial Blvd"
37152,"Southwestern University","1001 E. University Ave."
37154,"Texas Lutheran Univ.","1000 W Court St."
37156,"Trinity University","One Trinity Place"
37158,"Bethel University (tn)","325 Cherry Avenue"
37160,"Blue Mountain College","Box 160"
37162,"Faulkner University","5345 Atlanta Hwy"
37164,"Loyola University New Orleans","6363 St Charles Ave"
37166,"Martin Methodist College","433 W. Madison St."
37168,"Middle Georgia State University","1100 Second St. SE"
37170,"Mobile, University Of","5735 College Pkwy."
37172,"William Carey University","498 Tuscan Ave."
37174,"Abilene Christian University","Teague Special Events Center"
37176,"Central Arkansas, U. Of","201 Donaghey Ave."
37178,"Houston Baptist University","7502 Fondren Rd."
37180,"Incarnate Word, U. Of The","4301 Broadway St"
37182,"Lamar University","211 Redbird Lane"
37184,"Mcneese State University","MSU Box 92735"
37186,"New Orleans, Univ. Of","2000 Lakeshore Drive"
37188,"Nicholls State University","906 East First St."
37190,"Northwestern State Univ.","468 Caspari St."
37192,"Sam Houston State University","Box 2268"
37194,"Southeastern Louisiana U.","800 Galloway Drive"
37196,"Stephen F. Austin State U.","712 Hayter St."
37198,"Texas A&m U. (corpus Christi)","6300 Ocean Dr."
37200,"Indiana U.-purdue U. (fort Wayne)","2101 E Coliseum Blvd"
37202,"Nebraska (omaha), U. Of","6001 Dodge St."
37204,"North Dakota State University","NDSU Dept 1200"
37206,"Oral Roberts University","7777 S. Lewis Avenue"
37208,"South Dakota State","2820 HPER Center"
37210,"Western Illinois University","1 University Circle"
37212,"Appalachian State University","425 Jack Branch Drive"
37214,"Arkansas State University","217 Olympic Dr."
37216,"Coastal Carolina University","132 Chanticleer Drive West"
37218,"Georgia Southern University","(merged with Armstrong State)"
37220,"Georgia State University","125 Decatur Street"
37222,"Little Rock","(formerly U. Arkansas at Little Rock)"
37224,"Louisiana At Lafayette, U. Of","Cox Athletic Center"
37226,"Louisiana At Monroe, U. Of","308 Warhawk Way"
37228,"South Alabama, Univ. Of","6001 USA Drive South"
37230,"Texas State University-san Marcos","Darren B. Casey Athletic Administration Complex"
37232,"Texas, University Of (arlington)","601 Spaniolo Dr."
37234,"Troy University","5000 Veterans Stadium Drive"
37236,"Ave Maria University","4810 Kelleher St."
37238,"Florida Memorial University","15800 NW 42nd Ave."
37240,"Keiser University","2600 N. Military Trail"
37242,"South Carolina, U. Of Beaufort","1 University Blvd."
37244,"Southeastern University","1000 Longfellow Blvd"
37246,"St. Thomas University (fl)","16401 NW 37th Avenue"
37248,"Warner University","13895 Hwy 27"
37250,"Webber International University","1201 North Scenic Highway"
37252,"Barry University","11300 NE 2nd Ave."
37254,"Eckerd College","4200 54th Ave S"
37256,"Embry-riddle Aeronautical University","600 S. Clyde Morris Blvd."
37258,"Florida Southern College","111 Lake Hollingsworth Dr."
37260,"Florida Tech","150 W University Blvd"
37262,"Lynn University","3601 N Military Trail"
37264,"Nova Southeastern University","3301 College Ave"
37266,"Palm Beach Atlantic University","901 S. Flagler Dr."
37268,"Rollins College","1000 Holt Ave Box 2730"
37270,"Saint Leo University","33701 State Road 52"
37272,"Tampa, University Of","401 W Kennedy Blvd."
37274,"Brockport, The College At","350 New Campus Dr."
37276,"Fredonia State U. Of Ny","Dods Hall"
37278,"Oswego State","203 Laker Hall"
37280,"Plattsburgh State","101 Broad St."
37282,"Suny Cortland","Park Center"
37284,"Suny New Paltz","1 Hawk Drive"
37286,"Suny Oneonta","Alumni Field House"
37288,"Alabama A&m University","4900 Meridian Street"
37290,"Alabama State University","915 S. Jackson St."
37292,"Alcorn State University","1000 ASU Dr. #510"
37294,"Arkansas, U. Of (pine Bluff)","Room 205, Admin. Bldg."
37296,"Grambling State University","Campus Box 4252"
37298,"Jackson State University","1400 John R. Lynch St"
37300,"Mississippi Valley State U.","MVSU 7246"
37302,"Prairie View A&m University","PO Box 519"
37304,"Southern Univ. & A&m","PO Box 9942"
37306,"Texas Southern University","3100 Cleburne Ave"
37308,"Chattanooga State Community College","4501 Amnicola Hwy"
37310,"Columbia State Community College","1665 Hampshire Pike"
37312,"Dyersburg State Community College","1510 Lake Rd"
37314,"Jackson State Community College","2046 N Parkway"
37316,"Motlow State Community College","6015 Ledford Mills Road"
37318,"Roane State Community College","276 Patton Ln."
37320,"Southwest Tennessee Community College","737 Union"
37322,"Volunteer State Community College","1480 Nashville Pike"
37324,"Walters State Community College","500 S. Davy Crockett Pkwy"
37326,"Brandeis University","Gosman Sports Center MS 007"
37328,"Case Western Reserve University","10900 Euclid Ave."
37330,"Emory University","26 Eagle Row"
37332,"New York University","404 Lafayette St."
37334,"Washington University In St. Louis","330 N. Big Bend"
37336,"Crown College (mn)","8700 College View Dr."
37338,"Martin Luther College","1995 Luther Court"
37340,"Minnesota, U. Of (morris)","East 2nd St."
37342,"North Central University","910 Elliot Ave."
37344,"Northland College","1411 Ellis Ave."
37346,"Northwestern, Univ. Of","3003 Snelling Ave North"
37348,"St. Scholastica, Coll. Of","1200 Kenwood Ave."
37350,"Wisconsin, U. Of (superior)","801 N 28th St"
37352,"Averett University","420 W. Main St."
37354,"Berea College","290 Campus Dr."
37356,"Brevard College","One Brevard College Dr."
37358,"Covenant College","14049 Scenic Hwy."
37360,"Ferrum College","590 Ferrum Mtn. Rd."
37362,"Greensboro College","815 W. Market St."
37364,"Huntingdon College","1500 E Fairview Ave"
37366,"La Grange College","601 Broad St."
37368,"Maryville College","502 E Lamar Alexander Pkwy"
37370,"Methodist University","5400 Ramsey St."
37372,"North Carolina Wesleyan","3400 N Wesleyan Blvd."
37374,"Pfeiffer University","48380 US Highway 52N"
37376,"Piedmont College","1021 Central Ave."
37378,"William Peace University","15 E. Peace St."
37380,"Apprentice School, The","4101 Washington Ave."
37382,"Central Pennsylvania College","600 Valley Road"
37384,"Cincinnati, U. Of-clermont College","4200 Clermont College Dr."
37386,"Concordia College Alabama","1712 Broad St."
37388,"Kent State University Tuscarawas","330 University Dr. NE"
